"yyyymmdd","Mkt-RF","SMB","HML","RF"
"19600129",   -3.12,   -0.24,   -0.08,   0.083
"19600205",    0.63,   -0.76,   -0.51,   0.072
"19600212",   -0.77,    0.23,    0.57,   0.072
"19600219",    1.33,    0.01,   -0.68,   0.072
"19600226",    0.07,    1.06,   -0.80,   0.072
"19600304",   -2.85,   -0.34,   -1.66,   0.087
"19600311",   -0.59,    0.30,    0.27,   0.087
"19600318",    1.37,    0.15,   -0.53,   0.087
"19600325",    1.61,   -1.02,   -0.46,   0.087
"19600401",   -1.01,    0.44,   -1.16,   0.049
"19600408",    1.59,   -0.65,   -0.40,   0.049
"19600414",    0.04,    0.08,   -0.73,   0.049
"19600422",   -1.61,    0.73,   -0.40,   0.049
"19600429",   -1.90,    0.20,   -0.57,   0.049
"19600506",    0.80,   -0.22,   -0.99,   0.068
"19600513",    1.19,    0.61,   -0.83,   0.068
"19600520",    0.94,   -0.48,    0.36,   0.068
"19600527",   -0.03,    1.44,   -1.18,   0.068
"19600603",    0.86,   -1.05,   -0.55,   0.060
"19600610",    3.03,   -1.03,    0.58,   0.060
"19600617",   -0.70,    1.06,   -1.15,   0.060
"19600624",    0.34,   -0.36,    1.04,   0.060
"19600701",   -1.02,    0.96,   -1.02,   0.033
"19600708",    0.51,   -0.53,    0.66,   0.033
"19600715",   -2.25,    0.18,    1.26,   0.033
"19600722",   -2.29,    0.24,    0.78,   0.033
"19600729",    1.45,   -0.66,   -0.38,   0.033
"19600805",   -0.06,   -0.10,    0.04,   0.041
"19600812",    2.28,    0.19,    0.49,   0.041
"19600819",    0.82,    0.02,   -0.32,   0.041
"19600826",    0.97,    0.03,    0.36,   0.041
"19600902",   -0.92,    1.03,   -0.96,   0.039
"19600909",   -1.57,   -0.16,    0.58,   0.039
"19600916",   -1.81,   -0.46,    0.40,   0.039
"19600923",   -2.26,    0.04,    0.10,   0.039
"19600930",   -0.61,   -0.78,    0.65,   0.039
"19601007",    0.81,   -1.09,    0.51,   0.054
"19601014",    1.45,   -0.90,    0.59,   0.054
"19601021",   -2.86,   -0.15,    1.24,   0.054
"19601028",    0.02,   -1.42,    0.25,   0.054
"19601104",    2.73,   -1.13,    0.25,   0.033
"19601111",    1.79,    0.59,   -1.00,   0.033
"19601118",    0.18,   -0.14,   -0.68,   0.033
"19601125",    0.81,    0.45,   -1.38,   0.033
"19601202",   -1.19,    0.87,   -0.09,   0.039
"19601209",    2.34,   -0.57,   -0.26,   0.039
"19601216",    1.15,    0.12,   -0.92,   0.039
"19601223",    0.31,   -0.55,    0.27,   0.039
"19601230",    1.06,   -0.97,    0.51,   0.039
"19610106",    0.69,    1.24,    1.85,   0.047
"19610113",    1.86,    0.46,    1.17,   0.047
"19610120",    0.76,    0.54,    0.83,   0.047
"19610127",    1.86,   -1.04,   -0.25,   0.047
"19610203",    1.71,    0.24,   -0.27,   0.036
"19610210",   -0.70,    1.44,    0.52,   0.036
"19610217",    1.13,    0.90,    0.56,   0.036
"19610224",    1.31,    0.72,   -1.11,   0.036
"19610303",    1.73,    0.29,   -1.29,   0.051
"19610310",   -0.37,    1.46,   -0.38,   0.051
"19610317",    1.79,    0.28,   -0.48,   0.051
"19610324",   -0.28,    0.05,    1.11,   0.051
"19610330",    0.97,    1.04,   -0.38,   0.051
"19610407",    1.27,   -0.65,    0.46,   0.044
"19610414",    0.63,   -0.01,    0.00,   0.044
"19610421",   -0.82,    1.25,    0.67,   0.044
"19610428",   -0.78,   -0.47,    0.96,   0.044
"19610505",    1.90,    0.29,    0.26,   0.044
"19610512",    0.17,    1.45,   -0.51,   0.044
"19610519",    1.15,   -0.80,    0.74,   0.044
"19610526",   -0.95,    1.29,   -0.01,   0.044
"19610602",    0.27,   -0.77,   -0.83,   0.050
"19610609",   -0.10,   -0.89,    0.02,   0.050
"19610616",   -2.24,   -0.38,   -0.53,   0.050
"19610623",   -0.13,   -0.88,    0.29,   0.050
"19610630",   -0.82,    0.15,    0.66,   0.050
"19610707",    1.69,    0.30,   -0.62,   0.046
"19610714",   -0.85,   -0.84,    0.66,   0.046
"19610721",   -0.77,   -0.68,   -0.23,   0.046
"19610728",    2.65,   -0.57,    0.11,   0.046
"19610804",    1.54,   -0.74,    0.37,   0.035
"19610811",    0.87,   -0.56,   -0.66,   0.035
"19610818",    0.39,   -0.19,    0.35,   0.035
"19610825",   -0.86,   -0.35,    0.22,   0.035
"19610901",    0.92,    0.11,   -0.75,   0.042
"19610908",   -0.59,   -0.99,    0.12,   0.042
"19610915",   -0.50,    0.25,   -0.31,   0.042
"19610922",   -1.36,   -0.61,    0.78,   0.042
"19610929",    0.08,    0.01,   -0.88,   0.042
"19611006",    1.74,   -0.46,    0.28,   0.046
"19611013",    0.10,   -0.08,    0.33,   0.046
"19611020",    0.54,   -0.56,   -0.06,   0.046
"19611027",   -0.21,   -0.64,   -0.25,   0.046
"19611103",    1.68,   -0.23,    0.09,   0.039
"19611110",    2.38,    0.45,   -0.98,   0.039
"19611117",    0.84,    0.14,   -0.99,   0.039
"19611124",    0.40,    0.44,    0.55,   0.039
"19611201",    0.03,   -0.05,    0.84,   0.047
"19611208",    0.31,   -0.79,    0.62,   0.047
"19611215",   -0.24,   -0.60,    0.30,   0.047
"19611222",   -1.51,    0.71,    0.89,   0.047
"19611229",    0.69,   -0.55,    0.21,   0.047
"19620105",   -2.73,    1.13,    2.52,   0.060
"19620112",   -0.04,    0.30,    0.68,   0.060
"19620119",   -1.18,    1.00,    0.76,   0.060
"19620126",   -0.94,   -0.01,    0.51,   0.060
"19620202",    2.30,   -1.35,    0.71,   0.050
"19620209",    1.17,   -0.06,   -0.23,   0.050
"19620216",    0.12,    0.18,    0.72,   0.050
"19620223",   -0.62,   -0.35,    0.43,   0.050
"19620302",    0.05,    0.06,   -0.19,   0.051
"19620309",    0.35,    0.46,   -0.82,   0.051
"19620316",    0.74,   -0.29,   -0.36,   0.051
"19620323",   -0.74,    0.18,   -0.14,   0.051
"19620330",   -1.29,   -0.24,    0.11,   0.051
"19620406",   -1.17,   -0.27,    0.26,   0.056
"19620413",   -1.61,   -0.62,    0.23,   0.056
"19620419",    1.13,   -0.34,    0.43,   0.056
"19620427",   -3.39,    0.21,   -0.28,   0.056
"19620504",   -0.11,   -0.35,   -0.21,   0.060
"19620511",   -5.30,   -0.42,    1.13,   0.060
"19620518",    1.69,   -0.40,    0.22,   0.060
"19620525",   -6.99,   -1.39,    1.23,   0.060
"19620601",   -0.02,   -0.37,    0.07,   0.049
"19620608",   -1.73,   -0.25,    0.85,   0.049
"19620615",   -4.39,   -1.41,    1.68,   0.049
"19620622",   -5.89,    0.69,    0.68,   0.049
"19620629",    3.84,   -0.14,   -0.54,   0.049
"19620706",    2.71,   -0.43,   -0.68,   0.066
"19620713",    3.17,    2.94,   -1.83,   0.066
"19620720",   -1.79,   -0.53,    0.39,   0.066
"19620727",    0.45,   -0.25,   -0.62,   0.066
"19620803",    1.46,    0.02,   -0.70,   0.059
"19620810",   -0.87,    0.05,    0.57,   0.059
"19620817",    2.57,    0.59,   -1.65,   0.059
"19620824",    1.15,    0.32,   -0.24,   0.059
"19620831",   -0.56,    0.17,   -0.02,   0.059
"19620907",   -1.30,   -0.36,    0.80,   0.052
"19620914",    0.80,   -0.91,   -0.40,   0.052
"19620921",   -2.09,   -0.63,   -0.23,   0.052
"19620928",   -2.69,   -0.71,    1.20,   0.052
"19621005",    1.29,   -1.13,   -0.04,   0.064
"19621012",   -0.19,   -0.18,    0.13,   0.064
"19621019",   -2.61,   -1.04,    0.71,   0.064
"19621026",   -2.16,   -1.69,    1.26,   0.064
"19621102",    5.88,   -0.12,   -1.40,   0.050
"19621109",    2.11,    0.71,    1.13,   0.050
"19621116",    2.43,    0.86,    0.14,   0.050
"19621123",    2.39,   -0.49,    0.58,   0.050
"19621130",    1.40,    1.47,   -0.34,   0.050
"19621207",    1.36,   -0.69,   -1.06,   0.058
"19621214",   -0.97,   -1.32,    0.49,   0.058
"19621221",   -0.03,   -1.43,    0.27,   0.058
"19621228",    0.42,   -0.22,    0.27,   0.058
"19630104",    2.02,    2.45,    0.41,   0.063
"19630111",    1.24,    0.59,    0.33,   0.063
"19630118",    0.45,    0.35,    0.19,   0.063
"19630125",    1.04,    0.29,    0.79,   0.063
"19630201",    0.48,   -0.81,    0.98,   0.057
"19630208",   -0.05,   -0.17,    0.34,   0.057
"19630215",    0.44,    0.38,    1.10,   0.057
"19630221",   -0.67,   -0.12,    0.37,   0.057
"19630301",   -2.62,    0.02,    0.27,   0.057
"19630308",    1.77,   -0.88,    0.26,   0.057
"19630315",    0.70,   -0.96,    0.41,   0.057
"19630322",    0.36,   -0.46,    0.70,   0.057
"19630329",    0.56,    0.12,    0.37,   0.057
