"DATE","IC4WSA"
"1967-01-28",209000
"1967-02-04",211000
"1967-02-11",216500
"1967-02-18",219500
"1967-02-25",229000
"1967-03-04",252500
"1967-03-11",255500
"1967-03-18",259500
"1967-03-25",260750
"1967-04-01",248000
"1967-04-08",252000
"1967-04-15",265500
"1967-04-22",265000
"1967-04-29",264000
"1967-05-06",263250
"1967-05-13",246250
"1967-05-20",242500
"1967-05-27",235750
"1967-06-03",234250
"1967-06-10",236000
"1967-06-17",234500
"1967-06-24",232000
"1967-07-01",222250
"1967-07-08",222750
"1967-07-15",227000
"1967-07-22",232500
"1967-07-29",232500
"1967-08-05",227750
"1967-08-12",218000
"1967-08-19",211750
"1967-08-26",212750
"1967-09-02",212000
"1967-09-09",219250
"1967-09-16",220500
"1967-09-23",219500
"1967-09-30",216000
"1967-10-07",216000
"1967-10-14",212500
"1967-10-21",216000
"1967-10-28",216750
"1967-11-04",214500
"1967-11-11",216500
"1967-11-18",210250
"1967-11-25",206250
"1967-12-02",199750
"1967-12-09",201500
"1967-12-16",203000
"1967-12-23",210000
"1967-12-30",215000
"1968-01-06",215250
"1968-01-13",219750
"1968-01-20",220250
"1968-01-27",215750
"1968-02-03",221250
"1968-02-10",218250
"1968-02-17",212000
"1968-02-24",210750
"1968-03-02",197250
"1968-03-09",195750
"1968-03-16",194250
"1968-03-23",196000
"1968-03-30",196500
"1968-04-06",193250
"1968-04-13",188500
"1968-04-20",184250
"1968-04-27",199000
"1968-05-04",203500
"1968-05-11",209250
"1968-05-18",213250
"1968-05-25",199000
"1968-06-01",196500
"1968-06-08",196000
"1968-06-15",194750
"1968-06-22",193500
"1968-06-29",192250
"1968-07-06",197750
"1968-07-13",195750
"1968-07-20",193500
"1968-07-27",196250
"1968-08-03",194250
"1968-08-10",202250
"1968-08-17",205250
"1968-08-24",202250
"1968-08-31",197750
"1968-09-07",190500
"1968-09-14",191250
"1968-09-21",190750
"1968-09-28",191000
"1968-10-05",190000
"1968-10-12",187750
"1968-10-19",187750
"1968-10-26",186000
"1968-11-02",185000
"1968-11-09",184250
"1968-11-16",184500
"1968-11-23",188750
"1968-11-30",184000
"1968-12-07",185250
"1968-12-14",186000
"1968-12-21",184250
"1968-12-28",199500
"1969-01-04",200000
"1969-01-11",199000
"1969-01-18",199000
"1969-01-25",191500
"1969-02-01",194750
"1969-02-08",196250
"1969-02-15",196250
"1969-02-22",196000
"1969-03-01",195500
"1969-03-08",194000
"1969-03-15",193250
"1969-03-22",190500
"1969-03-29",186000
"1969-04-05",183750
