"DATE","WGS10YR"
"1962-01-05",4.03
"1962-01-12",4.06
"1962-01-19",4.11
"1962-01-26",4.1
"1962-02-02",4.1
"1962-02-09",4.06
"1962-02-16",4.03
"1962-02-23",4.03
"1962-03-02",3.99
"1962-03-09",3.99
"1962-03-16",3.94
"1962-03-23",3.88
"1962-03-30",3.89
"1962-04-06",3.82
"1962-04-13",3.85
"1962-04-20",3.82
"1962-04-27",3.87
"1962-05-04",3.86
"1962-05-11",3.84
"1962-05-18",3.88
"1962-05-25",3.91
"1962-06-01",3.89
"1962-06-08",3.88
"1962-06-15",3.88
"1962-06-22",3.91
"1962-06-29",3.97
"1962-07-06",4.01
"1962-07-13",4.01
"1962-07-20",4.02
"1962-07-27",4.01
"1962-08-03",4.02
"1962-08-10",4
"1962-08-17",3.97
"1962-08-24",3.95
"1962-08-31",3.96
"1962-09-07",3.98
"1962-09-14",4
"1962-09-21",3.98
"1962-09-28",3.95
"1962-10-05",3.91
"1962-10-12",3.94
"1962-10-19",3.92
"1962-10-26",3.93
"1962-11-02",3.92
"1962-11-09",3.9
"1962-11-16",3.91
"1962-11-23",3.93
"1962-11-30",3.92
"1962-12-07",3.93
"1962-12-14",3.88
"1962-12-21",3.83
"1962-12-28",3.81
"1963-01-04",3.83
"1963-01-11",3.81
"1963-01-18",3.81
"1963-01-25",3.86
"1963-02-01",3.87
"1963-02-08",3.9
"1963-02-15",3.92
"1963-02-22",3.93
"1963-03-01",3.94
"1963-03-08",3.92
"1963-03-15",3.92
"1963-03-22",3.92
"1963-03-29",3.95
"1963-04-05",3.95
"1963-04-12",3.99
"1963-04-19",3.99
"1963-04-26",3.96
"1963-05-03",3.94
"1963-05-10",3.92
"1963-05-17",3.91
"1963-05-24",3.93
"1963-05-31",3.96
"1963-06-07",3.98
"1963-06-14",3.99
"1963-06-21",4
"1963-06-28",4
"1963-07-05",4.03
"1963-07-12",4.04
"1963-07-19",4.02
"1963-07-26",4.01
"1963-08-02",3.99
"1963-08-09",4
"1963-08-16",4.01
"1963-08-23",4
"1963-08-30",4.01
"1963-09-06",4.06
"1963-09-13",4.09
"1963-09-20",4.08
"1963-09-27",4.08
"1963-10-04",4.07
"1963-10-11",4.09
"1963-10-18",4.11
"1963-10-25",4.12
"1963-11-01",4.14
"1963-11-08",4.16
"1963-11-15",4.14
"1963-11-22",4.1
"1963-11-29",4.08
"1963-12-06",4.1
"1963-12-13",4.11
"1963-12-20",4.15
"1963-12-27",4.15
"1964-01-03",4.14
"1964-01-10",4.17
"1964-01-17",4.18
"1964-01-24",4.16
"1964-01-31",4.17
"1964-02-07",4.15
"1964-02-14",4.14
"1964-02-21",4.14
"1964-02-28",4.16
"1964-03-06",4.18
"1964-03-13",4.21
"1964-03-20",4.23
"1964-03-27",4.26
"1964-04-03",4.24
"1964-04-10",4.23
"1964-04-17",4.23
"1964-04-24",4.23
"1964-05-01",4.22
"1964-05-08",4.22
"1964-05-15",4.19
"1964-05-22",4.2
"1964-05-29",4.19
"1964-06-05",4.19
"1964-06-12",4.18
"1964-06-19",4.17
"1964-06-26",4.15
"1964-07-03",4.15
"1964-07-10",4.17
"1964-07-17",4.19
"1964-07-24",4.2
"1964-07-31",4.2
"1964-08-07",4.19
"1964-08-14",4.19
"1964-08-21",4.19
"1964-08-28",4.2
"1964-09-04",4.22
"1964-09-11",4.22
"1964-09-18",4.21
"1964-09-25",4.19
"1964-10-02",4.18
"1964-10-09",4.19
"1964-10-16",4.2
"1964-10-23",4.2
"1964-10-30",4.17
"1964-11-06",4.15
"1964-11-13",4.14
"1964-11-20",4.13
"1964-11-27",4.19
"1964-12-04",4.19
"1964-12-11",4.16
"1964-12-18",4.18
"1964-12-25",4.19
"1965-01-01",4.2
"1965-01-08",4.2
"1965-01-15",4.19
"1965-01-22",4.18
"1965-01-29",4.19
"1965-02-05",4.21
"1965-02-12",4.21
"1965-02-19",4.21
"1965-02-26",4.22
"1965-03-05",4.23
"1965-03-12",4.23
"1965-03-19",4.2
"1965-03-26",4.19
"1965-04-02",4.2
"1965-04-09",4.2
"1965-04-16",4.2
"1965-04-23",4.21
"1965-04-30",4.21
"1965-05-07",4.2
"1965-05-14",4.2
"1965-05-21",4.22
"1965-05-28",4.22
"1965-06-04",4.23
"1965-06-11",4.23
"1965-06-18",4.21
"1965-06-25",4.2
"1965-07-02",4.2
"1965-07-09",4.21
"1965-07-16",4.21
"1965-07-23",4.2
"1965-07-30",4.21
"1965-08-06",4.23
"1965-08-13",4.25
"1965-08-20",4.26
"1965-08-27",4.27
"1965-09-03",4.27
"1965-09-10",4.27
"1965-09-17",4.28
"1965-09-24",4.29
"1965-10-01",4.34
"1965-10-08",4.33
"1965-10-15",4.32
"1965-10-22",4.36
"1965-10-29",4.39
"1965-11-05",4.43
"1965-11-12",4.46
"1965-11-19",4.45
"1965-11-26",4.45
"1965-12-03",4.5
"1965-12-10",4.6
"1965-12-17",4.66
"1965-12-24",4.64
"1965-12-31",4.63
"1966-01-07",4.62
"1966-01-14",4.59
"1966-01-21",4.6
"1966-01-28",4.62
"1966-02-04",4.7
"1966-02-11",4.77
"1966-02-18",4.88
"1966-02-25",4.94
"1966-03-04",5
"1966-03-11",4.95
"1966-03-18",4.89
"1966-03-25",4.78
"1966-04-01",4.74
"1966-04-08",4.7
"1966-04-15",4.75
"1966-04-22",4.77
"1966-04-29",4.78
"1966-05-06",4.8
"1966-05-13",4.76
"1966-05-20",4.75
"1966-05-27",4.79
"1966-06-03",4.79
"1966-06-10",4.82
"1966-06-17",4.81
"1966-06-24",4.77
"1966-07-01",4.92
"1966-07-08",4.96
"1966-07-15",5.07
"1966-07-22",5.03
"1966-07-29",5.01
"1966-08-05",5.06
